Id,NameCanonical,NameAuthorship,NameYear,RefString,RefYear
ca074b21-f3e3-4e9f-aca0-4d524c6bfc3a,Trimiomelba laevis,"Casey, 1897",1897,"Casey, T. L. Coleopterological notices, VII. Annals of the New York Academy of Sciences, 9 (1): 285-684. (1897).",1897
c6ebd24d-cf93-479f-8bd8-1eadedc3fa43,Actinophryida,\N,"",\N,""
87ea05d1-d0ae-4606-9f92-ba3ea7c61c9a,Autoserica spissa,"Brenske, 1899",1899,\N,""
bfbd3010-5aa8-481d-a23c-7222097933b0,Tropodiaptomus lanaonus,"Kiefer, 1982",1982,\N,""
8748054d-483b-4a8e-8816-e3ecc9700d2c,Plutonia solemi,"Ibáñez & Alonso, 2001",2001,"Ibáñez, M., Alonso, M. R. & Valido, M. J. Plutonia solemi new species (Gastropoda: Vitrinidae: Plutoniinae) from La Palma (Canary Islands). Journal of Conchology. 37 (2): 149-157. London. (2001).",2001
9044c4e8-2d6f-454c-8f4c-8457dfa415f3,Argyranthemum adauctum adauctum,\N,"",\N,""
45d0ba6e-825d-47cc-9208-870ee9aded48,Ischnopopillia erythroptera chinensis,"Machatschke, 1975",1975,\N,""
b29b06bc-96b1-489c-99de-0470d4554e0e,Argopecten imitatoides,"Macsotay & Campos, 2001",2001,"Huber, M. Compendium of bivalves. A full-color guide to 3,300 of the world's marine bivalves. A status on Bivalvia after 250 years of research. Hackenheim: ConchBooks. 901 pp., 1 CD-ROM. (2010).",2010
db3b3afd-4997-45e0-9214-634a2402e597,Orionoides raguini,"(Gerard & Contaut, 1936)","",\N,""
5c166c27-cbdd-4bc2-8af9-256ec0fd264e,Flueggea wallichiana,Kunth,"",Kunth. In: Enum. Pl. 5: 303. (1850).,1850
04c0d0f6-ac81-4adf-9cd9-c5b55035ba26,Platygaster euurae,"(Ashmead, 1893)","",\N,""
2a37f8b3-62c4-41a5-83bd-0603c6258436,Prosopogryllacris paradoxa,"(Karny, 1930)","",\N,""
5bada074-bd91-433a-b50c-5d0d5e1027d1,Lactarius mayawatianus,"K.Das & J.R.Sharma, 2003",2003,"Sharma, J.R.; Das, K. New and interesting species of Lactarius from India. In: Mycotaxon 88:380. (2003).",2003
9c6cb9e4-fe31-4965-bdc3-f39c3dfb706d,Heterobranchus sextentaculatus,"Spix & Agassiz, 1829",1829,\N,""
ab1d44a8-846f-41ed-b050-2413d86dbed1,Stomachetosella balani,"(O'Donoghue & de Watteville, 1944)","",\N,""
6a155759-eef8-4639-bae4-3649912e1f53,Euagathis indica,"Enderlein, 1920",1920,"Enderlein, G. Zur Kenntnis aussereuropaischer Braconiden. Archiv fur Naturgeschichte. 84(A)11(1918):51-224. (1920).",1920
d00aca7c-f8d6-4b77-9605-3d62b19ddd7f,Psilocorsis cirrhoptera,"Hodges, 1961",1961,\N,""
87b91105-e3dd-442f-b89e-49ff6d15132e,Lethe manzorum,"Poujade, 1884",1884,\N,""
8a180b78-a7de-4976-b571-0a40d89dca8a,Charadrius alexandrinus,"Linnaeus, 1758",1758,\N,""
047e1e47-f423-4518-969e-ae38355bb8fe,Eupeodes borealis,"(Dusek & Laska, 1973)","",\N,""
cd47f998-dc79-498b-90bb-3cffc92c142e,Ferula soongarica,Pall. ex Schult.,"",Schult. In: Syst. Veg. 6: 598. (1820).,1820
d4df2d92-706d-4baa-be3a-11397aceb3e0,Alcea pallida cretica,(Weinm.) D.A.Webb,"",D. A. Webb. In: Feddes Repert. 74: 27. (1967).,1967
5f6a1cd2-97d2-4a11-b599-c37a79e86f33,Tanacetopsis kamelinii,S.S.Kovalevsk.,"","S. S. Kovalevsk. In: Bot. Mater. Gerb. Inst. Bot. Akad. Nauk Uzb. SSR, 20: 13. (1982).",1982
763d8ba6-7358-4125-90db-b8d0f365479d,Eryngium pristis var. mitigatum,Malme,"","Malme. In: Ark. Bot. 3, no. 13: 17. (1904).",1904
ec95b42e-6871-4fb2-899f-a296eb13bf70,Cinachyra schulzei,"Keller, 1891",1891,"Keller, C. Die Spongienfauna des Rothen Meeres (II. Halfte). Zeitschrift für wissenschaftliche Zoologie 52: 294-368, pls XVI-XX. (1891).",1891
ddbe2d51-c62d-412e-85e9-bc0d2dce8bca,Agrilus jaczewskii,"Obenberger, 1933",1933,\N,""
4c6de9cb-3385-444d-aa55-7afa3876efaf,Astronesthes ijimai,\N,"",\N,""
acb65825-de0c-4179-a55d-dea38bc6417a,Diplazium porphyrolepium,Alderw.,"","Alderw. In: Bull. Jard. Bot. Buitenz. II, 20: 11. (1915).",1915
4b210740-d65d-4ef9-9072-5728f3cf2f8b,Aulomyrcia hostmanniana var. robustior,O.Berg,"",O. Berg. In: Linnaea 27: 43. (1855).,1855
d998773d-dae5-4c91-9b45-d69a6fc8efd2,Psychotria oligoneura,Pierre ex Pit.,"",H.Lecomte. In: Fl. Indo-Chine 3: 357. (1924).,1924
46e6451d-1863-4264-91fd-92cf65094d90,Rankinia adelaidensis,"Greer, 1991",1991,\N,""
30edf8e1-e575-4837-8383-1e4f2ad638d3,Telmatoscopus edwardsi,"Tonnoir, 1939",1939,\N,""
9b1b105f-b881-4610-bbf8-16ca8e8ab217,Mycosphaerella valeppensis,"Rehm, 1906",1906,"Rehm, H.S.L.F.F. In: Öst. bot. Z. 56:295. (1906).",1906
1f3284de-0bfd-4fae-8461-68dfa9941292,Tetraglenes tonkinea,"Breuning & Chûjô, 1961",1961,"BREUNING Stephan & CHÛJÔ Michio. Coleoptera from Southeast Asia. 22. Family Cerambycidae Subfamily Lamiinae. Nature and Life in Southeast Asia 1: 343-346, pls IX-X.. (1961).",1961
d14f8971-beaa-474d-bce4-d99400eb0f78,Chlidanthus cumingii,C.Presl,"","C.Presl. In: Abh. Königl. Böhm. Ges. Wiss., ser. 5, 3: 545. (1845).",1845
01f8f0c5-c4d3-4d87-95e5-d8c1353fe1fc,Telphusa comprobata,"Meyrick, 1935",1935,\N,""
3c44daf0-86b3-4345-a250-49734feb16c5,Mesostoma hirudo,"Schmidt, 1858",1858,\N,""
5c0a6d85-bcaf-407f-ac9a-534ec369e7f9,Kleinia tortuosa,Thulin,"",Thulin. In: Nordic J. Bot. 22(4): 424. (2003).,2003
9a1d12fb-c10c-4a15-8623-93d2d99fa3a8,Dactylorhiza curvifolia,(F.Nyl.) Czerep.,"",Czerep. In: Sosud. Rast. SSSR: 307. (1981).,1981
a4a1d172-1e41-49fc-a0fb-bbb7b5ff3611,Hedyotis magallanensis,Elmer,"",Elmer. In: Leafl. Philipp. Bot. 3: 976. (1911).,1911
3c4a253c-119b-4c8a-99b5-e07159ad3192,Mycogloea amethystina,"Bandoni, 1998",1998,"Bandoni, R.J. On some species of Mycogloea. In: Mycoscience 39(1):31. (1998).",1998
efcc6845-edbc-4949-b432-d0736086419c,Vertigo oecsensis,"(Halaváts, 1903)","",\N,""
e46f5582-f9e1-4fa6-8d69-69305d2548f9,Trichothecium fuligineum,Spreng.,"",\N,""
3bf5f5d2-27b2-4c10-892d-8fd220c13ce5,Lebia (Lebia) scalata,"Liebke, 1935",1935,\N,""
53368671-c379-4cd4-983d-4283e0f1fc49,Sunamphitoe plea,"(J.L.Barnard, 1965)","",\N,""
001c7403-7dde-45c3-ab9a-48d8e49ba550,Xeromphalina testacea,"E.Horak, 1980",1980,"Horak, E. In: Sydowia 32(1-6):135. (1980).",1980
d32d5d89-a9ad-4497-8a16-2a8b5863cbd0,Alternaria macrospora,"(Sacc.) Sawada, 1931",1931,"Sawada, K. In: Report of the Department of Agriculture, Government Research Institute of Formosa 51:123. (1931).",1931
5b5d3ada-fbe2-496d-a953-ffa051002911,Auloserpusia schoutedeni,"Ramme, 1929",1929,\N,""
626c8e67-3f2e-4b4a-978a-f4d485d8d38c,Cetonia cirsii,"Motschulsky, 1845",1845,\N,""
06249418-8b8d-46df-8303-051c6e4ccf06,Pamphagus (Acinipe) mauritanicus,"I.Bolívar, 1878",1878,\N,""
7c72ee1c-9587-4914-b20e-c429879bd85e,Zeteticontus ceylonicus,"Subba Rao, 1972",1972,"Subba Rao, B.R. On |Zeteticontus| Silvestri with descriptions of three new species (Hymenoptera: Encyrtidae). JOURBOOK: Entomophaga VOLUME: 17(2) PAGES: 179-195. (1972).",1972
2ceefe3a-7005-4540-a835-5d1534d2ad09,Mniobia discophora,"Bartoš, 1951",1951,\N,""
60c49ad3-f326-483b-851c-2879f678fea0,Sideritis raeseri,Boiss. & Heldr.,"","P.E.Boissier. In: Diagn. Pl. Orient., ser. 2, 4: 30. (1859).",1859
c385c11d-0bd9-4829-892e-cf0dcc2f1992,Engraulis batesii,"Günther, 1868",1868,\N,""
ef2cd177-723c-405d-935b-a8fdb1ec550a,Platycerus piceus,"Kirby, 1837",1837,"Kirby W. The insects. J.Richardson, Fauna Boreali-Americana; or the zoology of the Northern parts of British America. Norwich 4:1-325 (125-143). (1837).",1837
0cb9a6fa-e0d4-4973-b065-0f34f5110314,Urginea hesperia,Webb & Berthel.,"",Webb & Berthel. In: Hist. Nat. Iles Canaries 2(3): 399. (1848).,1848
921d6140-3567-4dc4-8c2a-b496e3ac6b68,Pantoporia hordonia,"Stoll, 1790",1790,\N,""
