NameString,RefString
Arctium calocephalum (Jaub. & Spach) Kuntze,Kuntze. In: Rev. Gen. 307. (1891).
"Neosalanx argentea (Lin, 1932)",
"Calonectria hendrickxii (Hansf.) Rossman, 1977","Rossman, A.Y. In: Mycologia 69(2):364. (1977)."
"Aneboconcha obscura Cooper, 1973",
"Arcyria versicolor W.Phillips, 1877",W.Phillips. Grevillea 5:115. (1877).
Crambe sinuato-dentata Hochst. ex F.Petri,"Hochstetter, C.F.F. ex Petri, F. In: Schweinfurth, G.A. Beitr. Fl. Aethiop.: 238. (1867)."
"Achenium (Achenium) schatzmayri C.Koch, 1937","Koch, C. Beitrag zur Systematik und geographischen Verbreitung der Achenium-Arten (Col. Staph.). ""Pùbblicazioni del Museo Entomologico ""Pietro Rossi"", Duino, 2: 51-187."". (1937)."
"Agrilus humboldti Obenberger, 1933",Obenberger J. Agrilus-Studien II. Wiener Entomologische Zeitung 50:6-24. (1933).
Dichelachne rigida Steud.,Steud. In: Syn. Pl. Glumac. 1: 120. (1854).
"Psychrobacter cibarius Jung et al., 2005",
"Pentastichus xanthopus Ashmead, 1894","LaSalle, J.; Schauff, M.E. Preliminary studies on neotropical Eulophidae (Hymenoptera: Chalcidoidea): Ashmead, Cameron, Howard and Walker species. JOURBOOK: Contributions of the American Entomological Institute VOLUME: 27(1) PAGES: 47pp. (1992)."
Clausena calciphila B.C.Stone,"B. C. Stone. In: Fed. Mus. J. (Kuala Lumpur), 23: 111. (1978)."
Acrostichum semicordatum (Moore) Bak.,Bak. In: Syn. 422. (1868).
"Orthomus (Orthomus) velocissimus akbensis Mateu, 1955",
"Chariodema xylina Blanchard, 1850","Blanchard E. Catalogue des collections Entomologiques du Muséum d'Histoire naturelle de Paris. Classe des Insectes, Ordre des Coléoptères I. Milne-Edwards H, Blanchard E. et Lucas H. (Editors) Gide et Baudry. Paris (1850)1-128 (1851)129-240. (1850)."
"Mabuya mabouia Barbour, 1935",
"Conus (Klemaeconus) klemae (Cotton, 1953)","Puillandre N., Duda T.F., Meyer C., Olivera B.M. & Bouchet P. One, four or 100 genera? A new classification of the cone snails. Journal of Molluscan Studies. 81: 1-23. (2015)."
"Typhlocyptus atomus Rey, 1882","Rey, C. Tribu des brévipennes. Treizième famille: Habrocériens. Quatorzième famille: Tachyporiens. Annales de la Société Linnéenne de Lyon, (N.S.) 28: 135-308. (1882)."
"Mecas (Mecas) cirrosa Monné & Giesbert, 1994","MONNÉ Miguel Ángel & GIESBERT Edmund F. Checklist of the Cerambycidae and Disteniidae (Coleoptera) of the Western Hemisphere. Wolfsgarden Books. Burbank, California : i-xiv + 1-410. ISBN 1-885850-00-X. (1994)."
"Termidonia laminata Motschulsky, 1860","Motschulsky, V. Entomologie spéciale: Insectes des Indes orientales, et de contrées analogues. 2:de Série. Études Entomologiques, 8: 25-118. (1860)."
"Didymella bellidis (Neerg.) Q.Chen & L.Cai, 2015","Chen, Jiang, Zhang, Cai & Crous. In: Stud. Mycol. 82:174. (2015)."
"Platydactylus planus F.Walker, 1869",
Eucalyptus moluccana Roxb.,"Roxb. In: Hort. Beng. [92] (1814) nom. nud., Fl. Ind. 2: 498. (1832)."
Dioscorea angusta R.Knuth,"H.G.A.Engler (ed.). In: Pflanzenr., IV, 43: 288. (1924)."
"Planococcus mali Ezzat & McConnell, 1956",
"Chironomus glaucurus Wiedemann, 1828",
Acer ambiguum Dippel,Dippel. In: Handb. Laubholzk. 2: (1892).
Caprifolium asperifolium (Decne.) Kuntze,Kuntze. In: Rev. Gen. 274. (1891).
"Nassarius labiosus (J.de C.Sowerby, 1824)",
"Hylaeus melanosoma (Cockerell, 1920)",
"Coccomyces canarii Rehm, 1913","Rehm, H.S.L.F.F. In: Philipp. J. Sci., C, Bot. 8(5):403. (1913)."
"Troctopsoculus orientalis Lienhard, 1990",
"Myrsidea fusca (Carriker Jr., 1903)",
"Waipoua gressitti (Forster, 1964)","Forster, R. R. The Araneae and Opiliones of the subantarctic islands of New Zealand. Pacific Insects Monographs 7: 58-115. (1964)."
"Aleurodicus ornatus Cockerell, 1893",
"Erythrolychnia marcanoi Kazantsev & Perez-Gelabert, 2009","Kazantsev, Sergey V., and Daniel E. Perez-Gelabert. Fireflies of Hispaniola (Coleoptera: Lampyridae). Russian Entomological Journal, vol. 17, no. 4. (2009)."
Betula pendula var. dalecarlica (L.f.) L.H.Bailey,L.H.Bailey. In: Stand. Cycl. Hort. 1: 408. (1927).
Cucurbita lignosa Mill.,Mill. In: Gard. Dict. ed. VIII. n. 5. (1768).
"Larus armenicus Buturlin, 1934",
Elaphoglossum lalitae L.D.Gómez,L. D. Gómez. In: Phytologia 60: 74. (1986).
"Stelletta tuberculata (Carter, 1886)",
"Tomaspis pubescens (Fabricius, 1803)",
"Eristalis involvens Walker, 1860",
"Aithaloderma setosum (Zimm.) Boedijn, 1931","Boedijn, K.B. In: Bull. Jard. bot. Buitenz, 3 Sér. 11(2):227. (1931)."
"Spilopteron longiareolatum Wang, 1988","Wang, S.F. [Studies on the genus Spilopteron Townes of China (Ichneumonidae: Acaenitinae).] (in Chinese with English summary). Acta Zootaxonomica Sinica. 13(3):299-304. (1988)."
Palma chilensis Molina,Molina. In: Geogr. Nat. Hist. Chile: 124. (1808).
"Chthonius (Ephippiochthonius) anophthalmus Ellingsen, 1908",
"Phrynocephalus hongyuanensis Wang & Jiang, 1992",
Gentianella moorcroftiana var. falconeri (C.B.Cl.) U.C.Bhattacharyya & Sunita Agrawal,
Allophylus nigericus E.G.Baker,"E. G. Baker. In: Journ. Bot., 57: 158. (1919)."
"Anticlimax decorata Rolán, Fernández-Garcés & Rubio, 1997",
"Sphenophorus fallax Boheman, 1845",
"Calyciphora albodactylus (Fabricius, 1794)",
Elatostema sesquifolium (Reinw. ex Bl.) Hassk.,Hassk. In: Cat. Hort. Bot. Bogor. 79. (1844).
"Geoglossum capitatum Schmidel, 1793","Schmidel, C.C. In: Icon. pl., Ed. Palm (Man. III):92, tab. 25:11-12. (1793)."
"Fistularia starksi Jordan & Seale, 1905",
"Aglaophenia bicornuta Nutting, 1900",
Malanea macrophylla var. megalantha (Wernham) Steyerm.,Steyerm. In: Mem. New York Bot. Gard. 12: 250. (1965).
Guapeba glomerata (Miq.) Pierre,Pierre. In: Notes Bot. Sapot.: 43. (1891).
"Colerus fascicularis M.Hansen, 1999","Hansen, M. Fifteen new genera of Hydrophilidae (Coleoptera), with remarks on the generic classification of the family. Entomologica Scandinavica, 30: 121-172. (1999)."
"Dnopherula (Aulacobothrus) jaganathi Bhowmik, 1986",
Clematis vitalba var. integrata DC.,DC. In: De Candolle] 1: 139. (1817).
"Hoplia aureola var. flavicollis Reitter, 1903",
"Leucopholis guevarai Calcetas & Adorada, 2017","Calcetas O.A. & Adorada J.R. Taxonomic review of the genus Leucopholis Dejean, 1833 in the Philippines. Zootaxa 4232(1):085-103. (2017)."
"Helophorus brevipilis Guillebeau, 1893","Guillebeau, F. [Descriptions de quelques espèces inédites de Coléoptères d'Algérie]. Bulletin de la Société Entomologique de France, 1893: xxxiv-xxxvii. (1893)."
Clethra lineata H.Lév.,H.Lév. In: Repert. Spec. Nov. Regni Veg. 12: 534. (1913).
"Loliolus rhomboidalis Burgess, 1967",Sweeney M.J. & Vecchione M. Generic and specific names introduced in the squid family Loliginidae. (1998).
Brickellia lanata (DC.) A.Gray,A. Gray. In: Pl. Wright. 1. 84. (1850).
Tydemanella,
"Melampsora caballeroi Unamuno, 1942","Unamuno Yrigoyen, L.M. In: An. Jard. bot. Madr. 2:27. (1942)."
"Anachis milium (Dall, 1916)",
"Lima oblonga S.V.Wood, 1839","Huber, M. Compendium of bivalves. A full-color guide to 3,300 of the world's marine bivalves. A status on Bivalvia after 250 years of research. Hackenheim: ConchBooks. 901 pp., 1 CD-ROM. (2010)."
"Nephalius amictus Aurivillius, 1912","AURIVILLIUS Christopher. Cerambycidae : Cerambycinae. Coleopterorum Catalogus pars 39 [vol. 22]: 1-574. W. Junk & S. Schenkling, Berlin. (1912)."
"Symphonia albioculalis Hampson, 1906",
"Exocelina bagus (Balke & Hendrich, 2001)",
"Margarita (Unio) productus (Conrad, 1836)",InvertEBase. Authority files of U.S. and Canadian land and freshwater mollusks developed for the InvertEBase project (invertebase.org). (2015).
"Sphecodes sulcatulus Cockerell, 1906",
"Bolyphantes distichus (Tanasevitch, 1986)","Tanasevitch, A. V. New and little-known species of Lepthyphantes Menge 1866 from the Soviet Union (Arachnida: Araneae: Linyphiidae). Senckenbergiana Biologica 67: 137-172. (1986)."
Sedum acre var. laconicum (Boiss. & Heldr.) Fröderstr.,
"Thomisus janinae Comellini, 1957","Comellini, A. Notes sur les Thomisidae d'Afrique. 2. - Le genre Thomisus. Revue de Zoologie et de Botanique Africaines 55(1-2): 1-32. (1957)."
Actinochaeta,
Acromastigum verticale (Steph.) E.A.Hodgs.,Hodgson EA. New Zealand hepaticae (liverworts) – VIII. A review of the New Zealand species of the genera Bazzania and Acromastigum. Transactions of the Royal Society of New Zealand 82: 7-24. (1954).
"Euxootera heinrichi Laporte, 1979",
"Tropimenelytron mirabile (Eppelsheim, 1884)","Eppelsheim, E. Diagnosen neuer Staphyliniden aus dem Caucasus und aus Lenkoran. Verhandlungen des Naturforschenden Vereines in Brünn, 22: 11-16. (1884)."
"Lanthanusa lamberti Lieftinck, 1942","Lieftinck, M. A. The dragonflies (Odonata) of New Guinea and neighbouring islands. Part VI. Results of the Third Archbold Expedition 1938-'39 and of the Le Roux Expedition 1939 to Netherlands New Guinea (I. Anisoptera). Treubia: 18 (3): 441-608, figs. 1-2, incl. pl. 23-41. (1942)."
Cyathea monticola Presl,"Presl. In: Abh. (K.) Böhm. Ges. Wiss., Math.-Naturw. Cl. V, 5: 347. (1848)."
Oriboca virus ICTV,
"Panthiades boreas (Felder & Felder, 1865)",
"Polythore boliviana McLachlan, 1878","McLachlan, R. Calopterygina collected by Mr. Buckley in Ecuador and Bolivia. Transactions of the Entomological Society of London: 1878 (1): 85-94. (1878)."
Vicia terana Losa,
"Atheta (Coprothassa) anepsia Cameron, 1920","Cameron, M. New species of Staphylinidae from Ceylon. Part II (continued). Entomologist's Monthly Magazine, 56: 49-53, 94-99. (1920)."
"Ewanella longipes Naskrecki, 1994",
"Poria lamellosa var. lamellosa Henn., 1902","Hennings, P.C. In: Bot. Jb. 33(1):35. (1902)."
Protea longicaulis Knight,Knight. In: Cult. Pl. Prot. 29. (1809).
Capparis arborea (F.Müll.) Maiden,"Maiden. In: Proc. L. Soc. N.S.W., 28: 696. (1904)."
"Agathotanais toyoshioae Kakui & Kohtsuka, 2015",
"Oliva (Miniaceoliva) pica Lamarck, 1811","Sargent, D. M.; Petuch, E. J. A new species of Oliva (Gastropoda: Olividae) from Mauritius, Mascarene Islands. Visaya. 3(5), 4-10. (2012)."
"Eulachnus pinitabulaeformis Zhang & Guangxue, 1992","Zhang, Guangxue Homoptera: Aphididae. Homoptera: Aphididae. Iconography of Forest Insects in Hunan China, Hunan Science and Technology Press. (1992)."
Elymus diversiglumis Scribn. & C.R.Ball,Scribn. & C.R.Ball. In: Bull. Div. Agrostol. U.S.D.A. 24: 48. (1901).
"Lugdunum admirandum Saidova, 1975",
"Brachylatus bigibbus Fairmaire, 1896","FAIRMAIRE Léon Marc Herminie. Matériaux pour la faune coléoptérique de la région malgache. Annales de la Société Entomologique de Belgique, Bruxelles 40 (8): 336-398. (1896)."
"Mesopsocus strongylotus (Li & Fasheng, 2002)",
"Bembidion (Bembidionetolitzkya) toledanoi toledanoi J.Schmidt, 2004",
"Littorina saxatilis var. lutea Dautzenberg & Durouchoux, 1900",Check List of European Marine Mollusca (CLEMAM).
Arrabidaea podopogon (DC.) A.H.Gentry,"A. H. Gentry. In: Rhodora, 79(819): 439. (1977)."
"Cephalocousya loebli (Pace, 1992)","Pace, R. Aleocharinae nepalesi del Museo di Ginevra. Parte VII (conclusione): Oxypodini e Aleocharini (Coleoptera, Staphylinidae). Revue Suisse de Zoologie, 99 (2): 263-342. (1992)."
Solanum megalophyllum Bitter,Bitter. In: Feddes Repert. 11: 202. (1912).
"Cacopteris sinuata S.H.Scudder, 1899",
Xiphopteris organensis (Gardn.) Copel.,Copel. In: Amer. Fern J. 42: 93. (1952).
"Kazachstania aquatica F.Y.Bai & Z.W.Wu, 2005","Wu, Z.W.; Bai, F.Y. Kazachstania aquatica sp. nov. and Kazachstania solicola sp. nov., novel ascomycetous yeast species. In: Int. J. Syst. Evol. Microbiol. 55(5):2221. (2005)."
"Asterella gaultheriae (M.A.Curtis ex G.Martin) Sacc., 1891","Saccardo, P.A. In: Syll. fung. (Abellini) 9:394. (1891)."
Ruellia poilanei Benoist,"Benoist. In: Bull. Mus. Hist. Nat. Paris, 33: 106. (1927)."
"Taeniacanthus digitatus Dojiri & Cressey, 1987",
"Parlatoria alba McKenzie, 1945",
"Necyria zaneta Hewitson, 1875",
"Pentaceros aculeatus Gray, 1840","Gray, J. E. XXXII. A synopsis of the genera and species of the class Hypostoma (Asterias, Linnaeus). Annals of the Magazine of Natural History. 6: 275-290. (1840)."
Acmella grandiflora (Turcz.) R.K.Jansen,R. K. Jansen. In: Syst. Acmella (Asterac.-Heliantheae) (Syst. Bot. Monog. 8): 75. (1985).
Adiantum patens var. oatesii (Bak.) Ballard,Ballard. In: Kew Bull. 1940: 30. (1940).
"Amygdalum newcombi (Dall, Bartsch & Rehder, 1938)",
Asplenium pachysorum f. simplex C.Chr.,"C. Chr. In: Arch. Bot., Bull. Mens. 2(12): 211. (1928)."
"Mitromorpha fischeri (Hervier, 1900)",
"Scydmoraphes rhodensis (Franz, 1966)","Franz, H. Zur Kenntnis der Scydmaenidenfauna der Insel Rhodos und des benachbarten anatolischen Küstengebietes (Coleoptera). Eos: Revista Española de Entomologia, 41 (4): 563-571. (1966)."
"Clytus robiniae Chambers, 1880",CHAMBERS Victor Toucey. Insects injurying the black locust (Robinia pseudoacacia). The American Entomologist 3 (n. s.) 1: 59-61. (1880).
"Amphioplus lucidus Koehler, 1922","Koehler, R. Ophiurans of the Philippine Seas and adjacent waters. Smithsonian Institution United States National Museum Bulletin. 100(5): 1-486. (1922)."
"Harpalus coeruleus Schilsky, 1888",
"Rhaphitropis acutedentatus R.Frieser, 1987","Frieser, R. Die von J. Klapperich auf Sumatra gesammelten Anthribidae (I.). Acta coleopterologica, 3(1): 21-32. (1987)."
Carpinus dayongiana K.W.Liu & Q.Z.Lin,"K.W.Liu & Q.Z.Lin. In: Bull. Bot. Res., Harbin 6(2): 143. (1986)."
Pilosocereus,
Myriophyllum spicatum var. muricatum Maximovicz,
"Kalotermes (Glyptotermes) marlatti Snyder, 1926",
"Caulospongia biflabellata Fromont, 1998",
"Achrioptera magnifica Hennemann & Conle, 2004",
Stapelia flavopurpurea Marloth,Marloth. In: Trans. S. Afr. Phil. Soc. 18: 48. (1909).
Pinoritus,
"Apamauta lineolata Thomson, 1868",
"Lebias lineatopunctata Wagner, 1828",
"Eburia falli Hovore, 1988","HOVORE Franklin Thomas. Additions to the cerambycid beetle fauna of Baja California, Mexico: records and descriptions (Coleoptera, Cerambycidae). The Wasmann Journal of Biology, San Francisco 46 (1-2): 1-29, 4 figs. (1988)."
"Aethomerus cretatus Gilmour, 1965",GILMOUR E. Forrest. Catalogue des Lamiaires du Monde (Col. Céramb.). Verlag des Museums G. Frey Tutzing bei München 8: 559-655. (1965).
Tetractenion,
"Platyzosteria (Melanozosteria) occidentalis Mackerras, 1968",Mackerras. Australian Blattidae (Blattodea). VIII. The Platyzosteria group; subgenus Melanozosteria Stål. Australian Journal of Zoology 16:237-331. (1968).
"Araptus celatus Wood, 2007",
"Bostrichus ratzeburgi Kolenati, 1846",
Polycarena glutinosa (Schltr.) Levyns,"Levyns. In: Journ. S. Afr. Bot., 5: 37. (1939)."
Baeckea crenatifolia F.Müll.,F. Müll. In: Fragm. 4: 70. (1864).
"Glenea lumulumuensis Fisher, 1935","FISHER Warren Samuel. Cerambycidæ from Mount Kinabalu. Journal of the federated Malay States Museum, Kuala Lumpur 17 (30): 581-631. (1935)."
"Calliostoma spinosum Landau, Van Dingenen & Ceulemans, 2017",
Aristolochia macrophylla Duch.,Duch. In: Ann. Sc. Nat. Ser. IV. 2: 68. (1854).
"Pyripnomyces maranhensis Cavalc., 1972","Cavalcante, Cavalcanti & Leal. In: Publicações. Instituto de Micologia da Universidade de Pernambuco 647:22. (1972)."
"Stenus (Nestus) albipilus Rey, 1884","Rey, C. Tribu des brévipennes. Deuxième groupe: Micropéplides. Troisième groupe: Sténides. Annales de la Société Linnéenne de Lyon, (N.S.) 30: 153-415, pls. 1-3. (1884)."
Sisyrinchium flexuosum Raf.,Raf. In: Autik. Bot.: 65. (1840).
"Dichelacera variegata Burger, 1999",
Chaetoceros ramosus O.S.Korotkevich,
"Melophlus ruber Lehnert & van Soest, 1998",
"Citreimonas salinaria Choi & Cho, 2006",
Pomaderris coactilifolia F.Müll. ex Reiss.,"Reiss. In: Linnaea, 29: 1857 291. (1858)."
"Parandra (Parandra) glabra Peck, Thomas & Turnbow, 2014","PECK Stewart B., THOMAS Michael C. & TURNBOW Robert H. Jr. The diversity and distributions of the beetles (Insecta: Coleoptera) of the Guadeloupe Archipelago (Grande-Terre, Basse-Terre, La Désirade, Marie-Galante, Les Saintes, and Petite-Terre), Lesser Antilles. Insecta Mundi, Gainesville 0352: 1-156, 2 cartes. (2014)."
"Anthus bogotensis immaculatus Cory, 1916",
"Clostridium lactatifermentans Wielen et al., 2002",
"Palaeontinodes haifanggouensis Hong, 1983","Hong, Y.C. Beijang zhongzhu Inoshi kunchong huashi [Middle Jurassic fossil insects in north China.]. Geological Publishing House, Peking. 1983: 1-223. (1983)."
"Dendrodoris melaena Allan, 1932","Brodie, G. D.; Willan, R. C.; Collins, J. D. Taxonomy and occurrence of Dendrodoris nigra and Dendrodoris fumata (Nudibranchia: Dendrodorididae) in the Indo-West Pacific region. Journal of Molluscan Studies. 63, 407-423. (1997)."
Cybianthus resinosus Mez,Mez. In: Engl. Pflanzenr. 236(Heft 9): 219. (1902).
"Sphenoptera parallela Gory & Laporte, 1839",
"Ramularia graminella (Höhn.) U.Braun, 1988","Braun, U. Studies on Ramularia and allied genera (I). In: Int. J. Mycol. Lichenol. 3(2-3):281. (1988)."
"Termitocomes wasmanni Seevers, 1941","Seevers, C. H. Taxonomic investigations of some termitophilous Staphylinidae of the subfamilies Aleocharinae and Trichopseniinae (new subfamily). Annals of the Entomological Society of America, 34 (2): 318-346, pls. 1-3. (1941)."
"Anomala delagoa Péringuey, 1902","Péringuey L. Descriptive catalogue of the Coleoptera of South Africa (Lucanidae and Scarabaeidae), Sub-families: Rutelinae, Hopliinae. Transactions of the South African philosophical Society. Cape Town 12:561-920. (1902)."
"Valsonectria macrospora J.D.Rogers & Lar.N.Vassiljeva, 2010","Vasilyeva, L.N.; Rogers, J.D. Some new pyrenomycetous and loculoascomycetous fungi on the endemic Hawaiian plant Hibiscadelphus giffardianus. In: Mycotaxon 113:278. (2010)."
"Agaricus arvensis macrolepis (Pilát & Pouzar) Vasas, 1990","Vasas, G. Eine neue Macrolepiota Art aus Ungarn (Basidiomycetes, Agaricales). In: Annls hist.-nat. Mus. natn. hung. 81:41. (1990)."
"Clemelis pullula (Townsend, 1915)",
"Stegotes spinicollis Hustache, 1950",
Cassava brown streak virus ICTV,
Hibiscus grandiflorus Juss. ex DC.,DC. In: Prod. 1: 456. (1824).
"Elachista gielisi Traugott-Olsen, 1992",
"Thoracus pardus L.A.A.Chevrolat, 1878",
Festuca rectiseta (Nees) Walp.,Walp. In: Ann. Bot. Syst. 1: 943. (1849).
"Philonthus commodatus Last, 1968","Last, H. R. New Guinea Staphylinidae (Coleoptera). Journal of Natural History, 2 (3): 345-375. (1968)."
Tomocichla,
Pholeosilpha,
Thysanosoria pteridiformis (Ces.) C.Chr.,"C. Chr. In: Ind. Fil., Suppl. III: 187. (1934)."
"Typocerus zebratus LeConte, 1873","LECONTE John Lawrence. New species of North American Coleoptera. Prepared for the Smithsonian Institution. Part II. Smithsonian Miscellaneous Collections. Washington, D. C. 11 (264): 169-240. (1873)."
Pinus jeffreyi Balf.,"Balf. In: Murray, Bot. Exped. Oregon 8: 2. (1853)."
Guarea puberula Pittier,Pittier. In: Bol. Soc. Venezuela Cienc. Nat. 4: 357. (1938).
"Omorgus (Omorgus) bachorum Strümpher, Farrell & Scholtz, 2014","Strümpher W.P., Farrell J. & Scholtz C.H. Trogidae in forensic entomology: occurrence of known and new species in Queensland, Australia. Austral Entomology 53:368–372. (2014)."
Turraea fischeri eylesii (E.G.Bak.) Styles & White,
Calpidia lauterbachii Heimerl,"Heimerl. In: Österr. Bot. Zeitschr., 63: 286. (1913)."
Aster velutinus (DC.) Kuntze,Kuntze. In: Rev. Gen. 318. (1891).
"Drechslera fugax (Wallr.) Shoemaker, 1958",Hughes. In: Can. J. Bot. 36:765. (1958).
Capparis monantha M.Jacobs,"M. Jacobs. In: Blumea, 12: 471. (1965)."
"Natrix platyceps Shaw Et Al., 1939",
"Balanophyllia (Balanophyllia) rediviva Moseley, 1881",
"Galactinia succosa (Berk.) Sacc., 1889","Saccardo, P.A. In: Syll. fung. (Abellini) 8:106. (1889)."
"Pterostichus burrowsi Broun, 1914",
"Latisipho severinus (Dall, 1919)",
"Bragasellus comasioides Magiez & Brehier, 2004",
"Lithacodia jora Schaus, 1911",
Amygdalus glandulosa Leroy ex C.Koch,C. Koch. In: Dendrol. 1: 116. (1869).
"Conchotingis trepidantis (Drake, 1927)",
"Galeodea postcoronata Sacco, 1890",Check List of European Marine Mollusca (CLEMAM).
"Argia impura Rambur, 1842","Rambur, P. Histoire naturelle des insectes. Névroptères. Librairie Encyclopédique de Roret, Paris: 1-534, incl. pl. 1-12. (1842)."
Calceolaria foliosa Phil.,Phil. In: Anal. Univ. Chil. 531. (1873).
"Afroplectus (Afroplectus) pachys Jeannel, 1952","Jeannel, R. Psélaphides recueillis par N. Leleup au Congo Belge. IV.-Faune de l'Itombwe et de la Forêt du Rugege. Annales du Musée Royal du Congo Belge, Tervuren (Série 8º: Sciences Zoologiques), 11: 1-295. (1952)."
"Paxina corium (O.Weberb.) Seaver, 1928","Seaver, F.J. In: North American Cup-fungi, (Operculates) (New York):208. (1928)."
Cacalia graciliflora Wall.,Wall. In: Cat. n. 3149. (1829).
Gainiaceae,
"Phyllophaga limasa Saylor, 1948",
"Gomphocentrum dauphinense (Rolfe) Szlach., Mytnik & Grochocka","Szlach., Mytnik & Grochocka. In: Biodivers. Res. Conservation 29: 14. (2013)."
"Stratiomys velutina Bigot, 1879",
"Hypothyris noinonia granadensis Haensch, 1905",
"Canalisporium caribense (Hol.-Jech. & Mercado) Nawawi & Kuthub., 1989","Nawawi, A.; Kuthubutheen, A.J. Canalisporium, a new genus of lignicolous hyphomycetes from Malaysia. In: Mycotaxon 34(2):479. (1989)."
Micromeria tagananensis P.Pérez,P.Pérez. In: Rev. Gen. Micromeria Reg. Macaronesica: 108. (1978).
"Psylla ericae Curtis, 1835",
Aleuritopteris mairei (Brause) Ching,"Ching. In: Bull. Fan Mem. Inst. Biol. Bot. 2, 1: 272. (1949)."
"Hypena hokkaidalis Wileman & West, 1930",
"Panjange marilog Huber, 2015","Huber, B. A., Nuñeza, O. M. Evolution of genital asymmetry, exaggerated eye stalks, and extreme palpal elongation in Panjange spiders (Araneae: Pholcidae). European Journal of Taxonomy 169: 1-46. (2015)."
"Tingis (Tingis) perkensi Drake, 1947",
"Tetrops hauseri kostini Özdikmen & Turgut, 2008","ÖZDIKMEN Hüseyin & TURGUT Semra. The genus Tetrops Stephens, 1829 with a new subspecies, Tetrops praeustus anatolicus ssp. n. from Turkey (Coleoptera: Cerambycidae: Lamiinae). Munis Entomology & Zoology 3 (2): 621-635, 3 figs & 2 cartes. (2008)."
"Protoribates (Protoribates) boraboraensis Sellnick, 1959",
Paspalum scalare Trin.,Trin. In: Sp. Gram. 3: t. 274. (1829).
"Stracena flavescens Aurivillius, 1925",
Vitellaria serpentaria (Kunth) Radlk.,Radlk. In: Sitzungsber. Math.-Phys. Cl. Königl. Bayer. Akad. Wiss. München 12: 320. (1882).
"Pristonychus pretiosus Faldermann, 1836","FALDERMANN, Francisco. Additamenta entomologica ad faunam Rossicam in itineribus Jussu Imperatoris Augustissimi annis 1827-31 a Cl. MÉNÉTRIÉS et SZOVITZ susceptis collecta, in lucem edita. (Coleoptera persico-armeniaca). Fauna entomologica transcaucasica 1. Pentamera. -. ""Nouveaux Mémoires de la Société Impériale des Naturalistes de Moscou, 4: 1-314, pls. 1-10. (Moscow). (<a href = ""https://biodiversitylibrary.org/page/33098763"" target =""_blank"">See BHL)"". (1836)."
"Anomala eksae Prokofiev & Zorn, 2015","Prokofiev A.M. New Anomala Samouelle, 1819 from South-East Asia. Russian Entomological Journal 24(1):37-59. (2015)."
Haageocereus symmetros Rauh & Backeb.,
Petrophile stylaris Gand.,Gand. In: Bull. Soc. Bot. France 66: 226. (1919).
"Melanopsis constricta constricta Brusina, 1878","Wenz, W. Fossilium Catalogus I: Animalia. Gastropoda extramarina tertiaria. (1923-1930)."
"Boletus praestigiator R.Schulz, 1924","Michael & Schulz. In: Führ. Pilzfr., 1 Edn 5 (Berlin):pl. 91. (1924)."
"Phormosoma bursarium A.Agassiz, 1881",
Cornigomphus,
"Popilius fischeri (Pereira, 1941)",Pereira F.S. Contribuicao para o conhecimento da subfamilia dos Pseudacanthinae. Arquivos de Zoologia do Estado de São Paulo 3:93-113. (1941).
"Argyra argentata Macquart, 1834",
Kuceraianum,
"Cytherura siesseri Dingle, 1993",
Vinsonia palustris (Thouars) Gaudich.,"Gaudich. In: Voy. Bonite, Bot. 3: t. 17, f. 18-23. (1841)."
"Acraea cerasa kiellandi Carcasson, 1964",
"Michotamia deceptus Scarbrough & Hill, 2000",
"Antepipona exaltata Giordani Soika, 1982",
Eugenia pseudosubtilis var. platyphylla King,"King. In: J. Asiat. Soc. Bengal, Pt. 2, Nat. Hist. 70(2): 124. (1901)."
"Aplomera pachymera Macquart, 1838",
Haworthia cymbiformis var. cymbiformis,
"Hyalopsyche pilosa (Navas, 1916)",
"Turricaspia incerta Roshka, 1973",
Astragalus erwinii-gaubae Sirj. & Rech.fil.,"Sirj. & Rech. fil. In: Anz. Österr. Akad. Wiss., Math.-Nat., 91: 163. (1954)."
"Microlerneca leticia de Mello, 1995",
Theonoe,
Sinosenecio cyclaminifolius (Franch.) B.Nord.,"B. Nord. In: Op. Bot., 44: 50. (1978)."
"Harpagochromis boops (Greenwood, 1967)",
"Chlorocoma carenaria Guenée, 1857",
"Simulium similis Rubtsov, 1940",
"Polystictus ursinus (Link) Cooke, 1886","Cooke, M.C. In: Grevillea 14(no. 71):80. (1886)."
"Chontalia cyanipennis Linsley & Chemsak, 1971","LINSLEY E. G. & CHEMSAK J. A. An attempt to clarify the generic status of some neotropical species currently assigned to Euryptera, Chontalia and Ophistomis (Coleoptera, Cerambycidae). Arquivos de Zoologia, São Paulo 21 (1): 1-40. (1971)."
"Megaphyllites gebzensis Fantini Sestini, 1988","N. Fantini Sestini. Anisian ammonites from Gebze area (Kokaeli Peninsula, Turkey). Rivista Italiana di Paleontologia e Stratigrafia: 35--80. (1988)."
"Darceta haenschi H.Dohrn., 1906",
"Drephalys opifex Evans, 1952",
"Amblyomma brasiliense var. guyanense Floch & Abonnenc, 1941",
Hedyosmos secundus (S.Watson) Kuntze,Kuntze. In: Revis. Gen. Pl. 2: 520. (1891).
"Coniothyrium radicicola Tehon, 1937","Tehon, L.R. In: Mycologia 29(4):442. (1937)."
