NameString,RefString
Solanum mesopliarthrum Bitter ex Rojas & J.A.Steyermark,"Rojas & J. A. Steyermark. In: Pittieria, 7: 20. (1978)."
"Lissodendoryx flabellata Burton, 1929","Vacelet, J.; Arnaud, F. Invertébrés marins des XIIème et XVème Expéditions Antarctiques françaises en Terre Adélie. 2. - Démosponges. Téthys. Supplement 4: 9-24. (1972)."
"Favartia brazieri (Angas, 1878)",
"Chloroperla lunigera Klapálek, 1923",
"Habroloma clotho (Obenberger, 1929)",Obenberger J. Revision des espèces exotiques du genre Trachys Fabr. du continent asiatique. PÍehled exotichých druhç rodu Trachys Fabr. asijské pevniny. Acta Entomologica Musaei Nationalis Pragae 7:5-106. (1929).
"Corvina oxyptera DeKay, 1842",
Semenovia malcolmii (Hemsl. & H.Pearson) Pimenov,Pimenov. In: Nordic J. Bot. 31(6): 660. (2013).
"Makula pictipennis (Walker, 1870)",
Rhinanthus glacialis simplex (Sterneck) J.Dostál,"J. Dostál. In: Folia Mus. Rer. Nat. Bohem. Occid., Bot., 21: 11. (1984)."
Orchis ustulata f. emarginata Zapal.,Zapal. In: Consp. Fl. Gallic. Crit.: 201. (1906).
"Agkistrodon mokasen laticinctus Gloyd & Conant, 1943",
"Anoplodera antecurrens (Wickham, 1913)",
"Geotrupes viridissimus Miksic, 1958",
"Toloxis imponderosa W.R.Buck, 1994",W. R. Buck. Bryologist. (1994).
"Cicada superba Billberg, 1820","Billberg, G.J. Enumeratio insectorum in Museo Gust. Joh. Billberg. 1-138. (1820)."
"Pyrenophora teres f. teres Drechsler, 1923","Drechsler, C.F. In: J. Agric. Res., Washington 24(8):656. (1923)."
"Corticium leptospermi G.Cunn., 1954","Cunningham, G.H. In: Trans. Roy. Soc. N.Z. 82:312. (1954)."
"Halistemma tergestinum Claus, 1878","Claus, C. Uber Halistemma tergestinum nebst Bemerkungen uber den feineren Bau der Physophoride. - Arbeiten aus dem zoologischen Institut der Universität Wien 1: 1-45, pl. 1-5. (1878)."
"Chrysosoma delectans (Walker, 1856)",
Gomphia affinis Hook.fil.,Hook. fil. In: Hook. Niger Fl. 274. (1849).
Astragalus gaubae Bornm.,Bornm. In: Repert. Spec. Nov. Regni Veg. 50: 161. (1941).
"Mahura spinosa Forster & Wilton, 1973","Forster, R. R., Wilton, C. L. The spiders of New Zealand. Part IV. Otago Museum Bulletin 4: 1-309. (1973)."
"Neotrachyostus equadorensis Browne, 1962e",
"Micromonodes leucosticta Schaus, 1914",
"Gymnopus perforans transatlanticus R.H.Petersen, 2016",Petersen & Hughes. In: MycoKeys 18:52. (2016).
"Passalora astragali var. astragali (Ellis & Holw.) U.Braun, 1993","Braun, U. In: Cryptog. bot. 3(2-3):238. (1993)."
Cynometra bijuga,
Eustoma chironioides (Benth.) Griseb.,Griseb. In: DC. Prod. 9: 51. (1845).
"Capsus fasciatus H.Meyer-Dur, 1841","Meyer-Dür, H. Identität und Separation einiger Rhynchoten. Stettiner Entomologische Zeitung 2: 82--89. [Note: author's name indicated as Meyer]. NOT SEEN. (1841)."
"Melanotaenia rubrostriatus (Ramsay & Ogilby, 1886)",
"Orientoreicheia multisetosa Balkenohl & Brunne, 2004",
"Dracaenura myota Meyrick, 1886",
Paurotis schippii Burret,Burret. In: Notizbl. Bot. Gart. Berlin-Dahlem 12: 303. (1935).
"Sphagnum contortulum H.Crum, 1991",H. Crum. Bryologist. (1991).
Vitis albida Baker,Baker. In: Mart. Fl. Bras. 14(2): 212. (1871).
"Gampsoacantha pumilio M.Josifov & Stusak, 1987","Josifov, M. & Stusak. A new genus and two new species of Afrotropical Metacanthinae (Heteroptera, Berytidae). Acta Entomologica Bohemoslovaca (Acta Entomol. Bohemosl.) 84:287-294. (1987)."
"Moitessieria acicula F.Sandberger, 1871","Wenz, W. Fossilium Catalogus I: Animalia. Gastropoda extramarina tertiaria. (1923-1930)."
"Apoderus ardea Gyllenhal, 1839",
Talauma espinalii Lozano,Lozano. In: Fl. Colombia 1: 70. (1983).
Davallia denticulata f. camerounensis Bonap.,Bonap. In: Notes Pterid. 7: 224. (1918).
"Paracalliope dichotomus Morino, 1991",
"Elphos subrubida Warren, 1896",
